股票代码 股票名称 当前价 涨跌额 涨跌幅 年初至今 成交量 成交额 换手率 市盈率(ＴＴＭ) 股息率 市值
ELLO "Ellomay Capital" 9.2 0.48 5.5 13.81 3238 29048 0.03 82.133 - 98247665
CPG "Crescent Point" 4.23 0.22 5.49 40.07 5587750 23379146 1.02 -1.184 0.74863 2323654970
AUG "Auryn Resources" 1.74 0.09 5.45 89.17 328319 555187 0.36 -11.971 - 158727700
HCHC HC2控股 2.32 0.12 5.45 -12.12 503024 1157961 1.12 0.671 - 104334657
ACU Acme联合 19.64 1.01 5.42 38.49 24235 462089 0.72 14.312 2.57649 65810360
XEC Cimarex能源 70.83 3.63 5.4 15.17 2935892 206730835 2.89 9.072 1.19048 7183603957
GSM Ferroglobe 2.35 0.12 5.38 47.8 482123 1130580 0.28 -596.085 5.381165919282511 404145318
TRIB 三一生物科技 2.95 0.15 5.36 26.64 75580 217755 0.31 -1.711 - 70919776
OBE 黑曜石能源 0.3035 0.0152 5.27 -24.69 1086621 328160 0.21 -0.673 - 154017568
MJCO Majesco 8 0.4 5.26 12.83 21542 166739 0.06 47.884 - 293386176
EVOK "Evoke Pharma" 0.7682 0.0384 5.26 -69.02 537503 403112 3.08 -1.769 - 13387831
TCCO Technical通信 5.22 0.26 5.24 95.84 67423 340798 3.65 -15.086 - 9651911
ORBC ORBCOMM轨道通讯系统 7.05 0.35 5.22 -14.65 1174893 8127680 1.48 -21.313 - 559718838
RRTS Roadrunner运输 10.51 0.52 5.21 2018.52 24735 252990 0.07 -2.384 0 394771691
VVUS VIVUS 3.5135 0.1735 5.19 55.61 203284 698993 1.91 -1.011 0 37373676
TALO "Talos Energy" 28.53 1.4 5.16 74.82 244820 6954602 0.45 6.974 - 1545065117
BOXL 宝视来 3.49 0.17 5.12 190.83 251193 858843 2.39 -5.113 - 36702068
AMTBB Mercantil银行控股B 11.77 0.57 5.09 17.47 415 4767 0 11.095 0 508518060
EIGI 耐力国际控股集团 6.82 0.33 5.08 2.56 1148131 7677353 0.8 216.583 - 981987944
BMA "Banco Macro S.A. " 48.43 2.33 5.05 9.52 401428 18987946 0.6 15.084 4.28808 3243178006
SCE-E "Southern California Edison Company 4.78% Preferred Stock" 22.7 1.09 5.04 11.06 9413 212103 0.73 0 5.52985 29441900
BSVN Bank7 17.7 0.85 5.04 32.58 4954 86196 0.05 7.213 - 180318750
OPRX "OPTIMIZERX CORP" 12.39 0.59 5 12.94 29212 354225 0.24  - 149574300
BSGM "BIOSIG TECHNOLOGIE" 6.3 0.3 5 47.54 32179 198512 0.19  - 104983200
HNRG Hallador能源 5.12 0.24 4.92 1.71 43636 218393 0.14 20.319 3.27869 154852347
ALDR Alder生物制药 13.22 0.62 4.92 28.98 1273349 15301511 1.86 -2.728 - 905565571
DQ 大全新能源 35.08 1.63 4.87 49.91 440705 15564378 3.43 11.836 - 451262490
BILI 哔哩哔哩 18.32 0.85 4.87 25.57 7296334 124318637 2.34 -62.169 - 5710122126
WTER "The Alkaline Water" 2.59 0.12 4.86 -16.18 1911371 5021130 5.51 -12.955 - 89795764
MRVL 迈威尔科技 23.74 1.1 4.86 46.63 27097205 631356721 4.11 -87.368 1.06007 15647034000
SES 综合能源 0.5189 0.0239 4.83 -34.82 34166 16741 0.31 -0.528 - 5724567
FGP 法瑞加合作伙伴 1.31 0.06 4.8 144.86 128559 166484 0.13 -0.588 16 127269991
JAG "Jagged Peak Energy" 10.98 0.5 4.77 20.39 1780057 19655389 0.83 14.158 - 2342636648
RGLS "Regulus Therapeutics" 1.1 0.05 4.76 16.05 57490 61112 0.54 -0.243 0 11818314
SGRP SPAR商业服务集团 0.6599 0.0299 4.75 21.27 17358 10842 0.08 -5.961 - 13632161
HBMD "Howard Bancorp" 13.93 0.63 4.74 -2.59 10441 141481 0.05 -69.347 - 265460332
ARVN Arvinas 21 0.94 4.69 63.42 104200 2091237 0.32 -2.831 - 678904716
OPTT 海洋动力科技 2.9 0.13 4.69 752.69 2198168 6396249 192.82 -0.254 0 3306000
JPM 摩根大通 111.21 4.98 4.69 14.85 25766183 2853656300 0.79 11.68 3.01233 361195073211
SYPR Sypris科技 1.12 0.05 4.67 37.87 3273 3562 0.02 -6.824 - 23916707
RIBT 米糠科技 3.15 0.14 4.65 5 242021 542119 0.73 -12.841 - 104024523
CONE Cyrusone 58.11 2.58 4.65 9.89 2523166 143338445 2.33 5242.385 3.31352 6290861804
SMI 中芯国际 5.19 0.23 4.64 21.26 217495 1112052 0.02 39.097 - 5241169533
ANY "Sphere 3d" 2.72 0.12 4.62 -10.95 273573 736813 12.12 -0.234 0 6141953
NNA 纳维奥斯海上收购 7.55 0.33 4.57 140.98 38353 283544 0.4 -1.133 16.6205 71919609
ROAN Roan资源 5.74 0.25 4.55 -31.5 219270 1254444 0.14 -6.224 - 875576914
MICT 微网依内太克科技 1.04 0.0449 4.51 57.31 156646 169334 1.46 -4.277 - 11163601
AAC "AAC Holdings" 2.09 0.09 4.5 49.29 95172 194722 0.39 -1.534 - 51418922
SMAR Smartsheet 40.38 1.74 4.5 62.43 3730000 149498400 3.53 -79.091 - 4261840473
CLR 大陆能源 49.08 2.11 4.49 22.12 3349321 162780350 0.89 18.673 - 18454812519
XOG "Extraction Oil & Gas" 5.12 0.22 4.49 19.35 4840506 24430648 2.82 8.99 - 878358303
AQUA "Evoqua Water" 13.75 0.59 4.48 43.23 384107 5244981 0.34 -228.012 - 1569178078
HES 赫斯材料 66.1 2.81 4.44 63.21 6338470 415569109 2.09 -61.069 1.58003 20030564718
ALBO "Albireo Pharma" 34.59 1.47 4.44 41.01 68292 2345479 0.57 -9.021 - 415980205
MDR 迈克德莫特国际 9 0.38 4.41 37.61 4284198 38553498 2.37 -0.605 0 1627169220
ECOR Electrocore 5.72 0.24 4.38 -8.63 79980 444074 0.27 -3.017 - 168437961
NSSC 纳普科安全技术 23.89 1 4.37 51.68 388793 9359190 2.1 44.575 - 441249064
AR "Antero Resources" 8.69 0.36 4.32 -7.45 5336124 46498985 1.73 -6.747 - 2682177364
IMMR 浸入科技 8.96 0.37 4.31 0 309259 2727094 1 5.087 - 276456947
